nose_y      ,nose_x      ,l_eye_y     ,l_eye_x     ,r_eye_y     ,r_eye_x     ,l_ear_y     ,l_ear_x     ,r_ear_y     ,r_ear_x     ,l_shldr_y   ,l_shldr_x   ,r_shldr_y   ,r_shldr_x   ,l_elbow_y   ,l_elbow_x   ,r_elbow_y   ,r_elbow_x   ,l_wrist_y   ,l_wrist_x   ,r_wrist_y   ,r_wrist_x   ,l_hip_y     ,l_hip_x     ,r_hip_y     ,r_hip_x     ,l_knee_y    ,l_knee_x    ,r_knee_y    ,r_knee_x    ,l_ankle_y   ,l_ankle_x   ,r_ankle_y   ,r_ankle_x   ,label       
-1.193312168,-0.113209382,-1.254631639,-0.053374350,-1.258638501,-0.094613276,-1.269508004,0.158635512 ,-1.268761516,0.061754551 ,-0.977085829,0.295715123 ,-0.994129419,0.042382784 ,-0.585427880,0.053607337 ,-0.602567017,-0.069378853,-0.834774792,-0.299173325,-0.779161751,-0.341897398,0.019495375 ,0.094572164 ,-0.019495375,-0.094572164,0.528460145 ,0.112906814 ,0.452759236 ,-0.047453444,1.118058681 ,0.120200083 ,0.944459975 ,-0.011925627,Berdiri     
-1.214196205,-0.103949606,-1.275851011,-0.043061234,-1.273729086,-0.099624328,-1.292001724,0.178749159 ,-1.287494779,0.037735123 ,-0.969655633,0.319966465 ,-0.997690439,0.039963651 ,-0.580115557,0.047384318 ,-0.592862904,-0.067975059,-0.810205281,-0.293386608,-0.799706995,-0.340901881,0.020289091 ,0.102996163 ,-0.020288818,-0.102996439,0.585322738 ,0.132980749 ,0.506645322 ,-0.039575428,1.181369781 ,0.137562200 ,1.006675482 ,-0.001095908,Berdiri     
-1.188169479,-0.102491178,-1.252090454,-0.044445258,-1.260925531,-0.081974395,-1.266859651,0.163933769 ,-1.274223566,0.087849915 ,-0.966329873,0.312314659 ,-1.002674103,0.038431924 ,-0.583479166,0.029469302 ,-0.649469674,-0.156201631,-0.769804597,-0.270106554,-0.751509070,-0.305167973,0.017105350 ,0.106046125 ,-0.017105350,-0.106046125,0.518630326 ,0.125243306 ,0.437126637 ,-0.042607814,1.080871344 ,0.118794248 ,0.907721281 ,-0.003826432,Berdiri     
-1.193043351,-0.106199294,-1.257808089,-0.047678679,-1.267033577,-0.084956624,-1.271533489,0.162291497 ,-1.279305935,0.087045677 ,-0.954798222,0.303366631 ,-1.014139533,0.047751606 ,-0.582122982,-0.001218637,-0.654666662,-0.144632071,-0.756401598,-0.275441378,-0.745209217,-0.305627584,0.017670626 ,0.100321241 ,-0.017670626,-0.100321241,0.527324677 ,0.125345364 ,0.443103313 ,-0.041145340,1.083243251 ,0.129343495 ,0.915731549 ,-0.002535463,Berdiri     
-1.224772692,-0.117737047,-1.287667155,-0.052792456,-1.297484040,-0.103411205,-1.299433112,0.163587421 ,-1.306172490,0.061140936 ,-0.948240817,0.278012335 ,-1.020155311,0.076129042 ,-0.621045768,0.001298946 ,-0.682632685,-0.153535753,-0.761311650,-0.293648154,-0.765520632,-0.308398187,0.019381572 ,0.098545343 ,-0.019381303,-0.098545074,0.550415754 ,0.121136978 ,0.454828113 ,-0.047760155,1.122347713 ,0.126804084 ,0.945472181 ,-0.008782359,Berdiri     
-1.243910432,-0.125389174,-1.307885647,-0.063771993,-1.310281873,-0.127831817,-1.313504696,0.155659884 ,-1.312738776,0.020927062 ,-0.949081898,0.272698700 ,-1.027562976,0.032055207 ,-0.604339063,-0.036527853,-0.691443384,-0.158094838,-0.725826561,-0.282116562,-0.767466664,-0.294532418,0.017715741 ,0.105342403 ,-0.017715741,-0.105342403,0.561943054 ,0.116676457 ,0.471899331 ,-0.054815426,1.148720860 ,0.120903328 ,0.968845367 ,-0.016031591,Berdiri     
-1.258892179,-0.124775417,-1.321145654,-0.063783273,-1.323503256,-0.128926694,-1.326853752,0.158174962 ,-1.324669480,0.019902512 ,-0.945894420,0.284011692 ,-1.029963374,0.025803683 ,-0.557851911,0.023713686 ,-0.662505090,-0.109062940,-0.693811059,-0.240094692,-0.709394157,-0.282492638,0.014085812 ,0.112208664 ,-0.014086090,-0.112208389,0.584147632 ,0.120401114 ,0.497350961 ,-0.054727450,1.175072908 ,0.126520008 ,0.993888974 ,-0.013310809,Berdiri     
-1.260409951,-0.127318099,-1.322881579,-0.067554280,-1.325642943,-0.134482935,-1.326949954,0.151094422 ,-1.322870731,0.013954802 ,-0.952486396,0.312647283 ,-1.021105886,0.011286539 ,-0.555980384,0.020088527 ,-0.667841434,-0.142241389,-0.706856072,-0.201275051,-0.719782770,-0.268233508,0.009948407 ,0.111358441 ,-0.009948407,-0.111358441,0.559145153 ,0.125474885 ,0.482364923 ,-0.045939215,1.150786757 ,0.127903715 ,0.974629402 ,-0.009821517,Berdiri     
-1.268358827,-0.133562714,-1.333672285,-0.073815309,-1.335225224,-0.142812297,-1.338364959,0.148978487 ,-1.336783409,0.016476788 ,-0.948839307,0.266382724 ,-1.027767658,0.038617056 ,-0.508156776,-0.002957631,-0.618553042,-0.128159985,-0.699174345,-0.232892752,-0.707045317,-0.258571118,0.012234437 ,0.104570240 ,-0.012234157,-0.104570515,0.593248248 ,0.120578833 ,0.504360437 ,-0.045479368,1.185215950 ,0.127868071 ,1.001004696 ,-0.015579421,Berdiri     
-1.261689186,-0.131172553,-1.323910356,-0.071280263,-1.328526139,-0.138331547,-1.324730635,0.148150802 ,-1.328470349,0.023127392 ,-0.943366110,0.273934722 ,-1.026581645,0.071471974 ,-0.503687918,-0.004204429,-0.634152114,-0.135926455,-0.697075486,-0.225315675,-0.707738996,-0.257885247,0.013772938 ,0.099495344 ,-0.013773214,-0.099495620,0.579461396 ,0.122236274 ,0.486622214 ,-0.047034875,1.151649356 ,0.125658676 ,0.971838713 ,-0.012449434,Berdiri     
-1.252952576,-0.133279681,-1.320957899,-0.075016975,-1.324214816,-0.142447725,-1.320293665,0.144628435 ,-1.324488401,0.012345793 ,-0.956793129,0.291324884 ,-1.016508579,0.034374624 ,-0.490551800,0.038354218 ,-0.603240490,-0.141012937,-0.654736519,-0.174672931,-0.666072965,-0.258417726,0.010841781 ,0.117967121 ,-0.010841781,-0.117967121,0.583759785 ,0.121049903 ,0.496500283 ,-0.044335097,1.148853183 ,0.128200606 ,0.975395679 ,-0.009560659,Berdiri     
-1.251513839,-0.130232409,-1.311581969,-0.068119161,-1.316990614,-0.134907857,-1.301951170,0.151137263 ,-1.309215307,0.010846815 ,-0.961032391,0.311492145 ,-1.008776665,0.034703374 ,-0.482477278,0.063181520 ,-0.620397806,-0.161194220,-0.634802341,-0.160999909,-0.636034966,-0.224873453,0.008706144 ,0.118311822 ,-0.008706144,-0.118311822,0.582376957 ,0.127976581 ,0.496933728 ,-0.039428022,1.138352633 ,0.135122776 ,0.966173112 ,-0.001481897,Berdiri     
-1.276706338,-0.135231003,-1.334599972,-0.071412526,-1.340149522,-0.137893528,-1.312455773,0.153760687 ,-1.322659612,0.012463393 ,-0.952335358,0.309203058 ,-1.017850757,0.034842059 ,-0.483972728,0.057659045 ,-0.647216439,-0.175523043,-0.624771476,-0.152992100,-0.643146396,-0.210121632,0.010311310 ,0.116021730 ,-0.010311310,-0.116021454,0.588055909 ,0.132438302 ,0.502033710 ,-0.038053185,1.145371079 ,0.139542624 ,1.000957370 ,0.026965555 ,Berdiri     
-1.265483379,-0.141551331,-1.323265553,-0.078824840,-1.328052044,-0.147572070,-1.307694793,0.144425765 ,-1.313597798,-0.008519205,-0.967215061,0.312351465 ,-1.004833341,0.020852894 ,-0.477808505,0.067708664 ,-0.612277687,-0.167744547,-0.620614886,-0.147624671,-0.615135431,-0.216031551,0.008021906 ,0.124462828 ,-0.008021628,-0.124462828,0.593428195 ,0.126148134 ,0.516681314 ,-0.046844639,1.159546971 ,0.133306801 ,0.989946783 ,-0.003298260,Berdiri     
-1.259860277,-0.146941826,-1.320675254,-0.084827021,-1.324627519,-0.153932258,-1.310345769,0.141074523 ,-1.314995646,-0.012266382,-0.964538574,0.305055320 ,-1.007832885,0.026231369 ,-0.479977518,0.058791932 ,-0.622111142,-0.174570844,-0.608392537,-0.156301558,-0.611756921,-0.226161584,0.005600863 ,0.123417482 ,-0.005601141,-0.123417482,0.598206997 ,0.128638864 ,0.508864105 ,-0.044980351,1.168521404 ,0.132582605 ,0.998518229 ,-0.002620436,Berdiri     
-1.245400786,-0.140304506,-1.306787252,-0.078986831,-1.317720294,-0.147828564,-1.306704879,0.144508645 ,-1.311914206,0.003193334 ,-0.952370346,0.289345801 ,-1.017576814,0.056063961 ,-0.471327662,0.060542334 ,-0.635033131,-0.159113541,-0.609397531,-0.164898559,-0.615711331,-0.217729017,0.010263102 ,0.114099935 ,-0.010263102,-0.114100218,0.590356946 ,0.136090398 ,0.495777100 ,-0.038059350,1.155703425 ,0.139721408 ,0.983395815 ,0.003171728 ,Berdiri     
-1.262443066,-0.139087901,-1.325327277,-0.076938339,-1.335896254,-0.144105226,-1.325315714,0.147459552 ,-1.329246998,0.011321451 ,-0.945645571,0.266770244 ,-1.027610660,0.059204478 ,-0.476754427,0.067328751 ,-0.638901114,-0.146337360,-0.635125101,-0.165278360,-0.634642839,-0.219454408,0.012460842 ,0.107756868 ,-0.012461119,-0.107756868,0.590451479 ,0.142876163 ,0.492211998 ,-0.033377998,1.141875744 ,0.142843962 ,0.969029725 ,0.004431244 ,Berdiri     
